file	current_dependency	replacement
evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-concurrency-policy.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-commit-authority.sh	computed-root-readme-route-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-contract-ownership.sh	transitive-root-readme-route-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-csharp-async-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-filesystem-containment-policy.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-frontend-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-godot-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-ipc-payload-validation.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-language-binding-boundary.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-launcher-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-persistence-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-rust-async-boundary.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-rust-binding-architecture.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-rust-binding-conversions.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-rust-interop-memory.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-rust-tooling-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
evaluation/standards-effectiveness/verify-typescript-async-owner-contract.sh	root-readme-route-or-catalog-assertion	canonical-router-or-owner-evidence
