train_order	package_id	subject	owner	risk	semantic_outcome	write_set	prerequisites	verification	state
1	M3-DT1	checker:evaluation/standards-effectiveness/verify-language-binding-surface-contract.sh	profiles/boundaries/language-bindings.md	consolidation	language-binding-surface-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/language-binding-surface-contract.toml,evaluation/standards-effectiveness/verify-language-binding-surface-contract.sh,evaluation/standards-effectiveness/fixtures/language-bindings/surface-contract-schema.tsv,evaluation/standards-effectiveness/fixtures/language-bindings/surface-contract-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M3-G1	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
2	M3-DT2	checker:evaluation/standards-effectiveness/verify-rust-binding-contract-discovery.sh	profiles/languages/rust/language-bindings.md	consolidation	rust-binding-contract-discovery-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-binding-contract-discovery.toml,evaluation/standards-effectiveness/verify-rust-binding-contract-discovery.sh,evaluation/standards-effectiveness/fixtures/rust/binding-contract-discovery-schema.tsv,evaluation/standards-effectiveness/fixtures/rust/binding-contract-discovery-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M3-DT1	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
3	M3-DT3	checker:evaluation/standards-effectiveness/verify-binding-artifact-composition.sh	workflows/release.md	consolidation	binding-artifact-composition-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/binding-artifact-composition.toml,evaluation/standards-effectiveness/verify-binding-artifact-composition.sh,evaluation/standards-effectiveness/fixtures/release/binding-artifact-composition-schema.tsv,evaluation/standards-effectiveness/fixtures/release/binding-artifact-composition-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M3-DT2	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
4	M5-CP0	source:CROSS-PLATFORM-STANDARDS.md	verification-engine.migration-source-closure	safety-critical	cross-platform-whole-source-route-prohibition-prerequisite	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/cross-platform-source-closure-prerequisite.toml,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M3-DT3,F085-option-1	focused-suite,engine-tests,graph-freshness,declarative-all,source-unchanged,complete-suite	accepted
5	M5-CP1	checker:evaluation/standards-effectiveness/verify-native-artifact-loading.sh	topics/cross-platform.md	consolidation	native-artifact-loading-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/native-artifact-loading.toml,evaluation/standards-effectiveness/verify-native-artifact-loading.sh,evaluation/standards-effectiveness/fixtures/cross-platform/native-artifact-loading-schema.tsv,evaluation/standards-effectiveness/fixtures/cross-platform/native-artifact-loading-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP0,VE016-option-1	focused-suite,dependency-once,engine-tests,graph-freshness,declarative-all,removed-paths,source-unchanged,complete-suite	accepted
6	M5-CP2	checker:evaluation/standards-effectiveness/verify-native-artifact-release.sh	workflows/release.md	consolidation	native-artifact-release-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/native-artifact-release.toml,evaluation/standards-effectiveness/verify-native-artifact-release.sh,evaluation/standards-effectiveness/fixtures/release/native-artifact-schema.tsv,evaluation/standards-effectiveness/fixtures/release/native-artifact-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP0,VE017-owner-audit,VE018-stable-subject	focused-suite,dependency-once,engine-tests,graph-freshness,declarative-all,removed-paths,source-unchanged,complete-suite	accepted
7	M5-CP3	checker:evaluation/standards-effectiveness/verify-platform-evidence-coverage.sh	workflows/verification.md	consolidation	platform-evidence-coverage-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/platform-evidence-coverage.toml,evaluation/standards-effectiveness/verify-platform-evidence-coverage.sh,evaluation/standards-effectiveness/fixtures/verification/platform-evidence-schema.tsv,evaluation/standards-effectiveness/fixtures/verification/platform-evidence-observed.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP0,VE019-owner-audit	focused-suite,dependency-once,engine-tests,graph-freshness,declarative-all,removed-paths,source-unchanged,complete-suite	accepted
8	M5-CP5	checker:evaluation/standards-effectiveness/verify-platform-target-policy.sh	topics/cross-platform.md	consolidation	platform-target-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/platform-target-policy.toml,evaluation/standards-effectiveness/suites/rust-target-configuration.toml,evaluation/standards-effectiveness/verify-platform-target-policy.sh,evaluation/standards-effectiveness/verify-rust-target-configuration.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-46-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP0,M5-CP1,VE016-option-1,VE020-option-1,VE021-option-1	focused-suites,dependency-once,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,source-unchanged,complete-suite	accepted
9	M5-CP4	checker:evaluation/standards-effectiveness/verify-rust-target-configuration.sh	profiles/languages/rust/cross-platform.md	consolidation	rust-target-configuration-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/platform-target-policy.toml,evaluation/standards-effectiveness/suites/rust-target-configuration.toml,evaluation/standards-effectiveness/verify-platform-target-policy.sh,evaluation/standards-effectiveness/verify-rust-target-configuration.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-46-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP0,M5-CP5,VE016-option-1,VE020-option-1,VE021-option-1	focused-suites,dependency-once,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,source-unchanged,complete-suite	accepted
10	M5-CP6	suite:evaluation/standards-effectiveness/suites/cross-platform-source-closure-prerequisite.toml	verification-engine.migration-source-closure	safety-critical	cross-platform-index-closure-and-temporary-prerequisite-retirement	CROSS-PLATFORM-STANDARDS.md,evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/cross-platform-source-closure-prerequisite.toml,evaluation/standards-effectiveness/corpus.tsv,evaluation/standards-effectiveness/fixtures/source-closure/cross-platform/contract.tsv,evaluation/standards-effectiveness/fixtures/source-closure/cross-platform/headings.tsv,evaluation/standards-effectiveness/fixtures/source-closure/cross-platform/prohibited.tsv,evaluation/standards-effectiveness/fixtures/source-closure/cross-platform/routes.tsv,evaluation/standards-effectiveness/findings.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,evaluation/standards-effectiveness/execution-ledger.md,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP1,M5-CP2,M5-CP3,M5-CP4,M5-CP5,F085-option-1,7.4c3v1,7.4c3.6	focused-source-closure,focused-owner-suites,dependency-retirement,package-authority,engine-tests,graph-freshness,declarative-all,corpus-derived,f085-resolution,removed-paths,complete-suite	accepted
