file	root_use	nonroot_use
evaluation/standards-effectiveness/verify-decision-traceability.sh	none	fixture-data
evaluation/standards-effectiveness/verify-rust-async-lifecycle.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-architecture.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-callback-task.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-conversions.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-enum-representation.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-event-delivery.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-executor-delegation.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-binding-runtime.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-boundary-arithmetic.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-external-input-queue.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-filesystem-authority.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-listener-lifecycle.sh	none	rust-profile-index
evaluation/standards-effectiveness/verify-rust-wire-representation.sh	none	rust-profile-index
